Category,Subclass,Index,QuestionType,AnswerType,Question,Answer
AIGC,artifacts,16,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The video shows the potato chip packaging gradually inflating, with the potato chip icon on the packaging turning into an actual potato chip. This does not conform to the laws of physics."
AIGC,artifacts,17,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the wooden block changed shape after falling off the skateboard. This does not conform to real-world phenomena."
AIGC,artifacts,18,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the wooden block changed shape after being removed from the hand. This does not conform to the laws of real physics."
AIGC,artifacts,19,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the person hitting the volleyball goes straight through the middle of the net, which doesn't conform to real-world phenomena."
AIGC,artifacts,20,TO,open,This is a video showing the changes of a place over time. Did any events occur in this video that violated the laws of real physics?Please state the specific reason.,"The video demonstrates the changing seasons in a forest, but the order of these changes does not conform to the natural order of spring, summer, autumn, and winter, which does not reflect the laws of physics."
AIGC,artifacts,21,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First of all, the ball started to move even before the foot touched it. Moreover, the goalkeeper, while attempting to save the ball, was hit by it and ended up in the goal. Water splashes even appeared when the goalkeeper caught the ball. This clearly violates the laws of physics."
AIGC,artifacts,22,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when this man put on the headphones, his right ear gradually shrank, as if being squeezed - this phenomenon completely defies the physical laws of the real world."
AIGC,artifacts,23,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, a person gently hits a golf ball, and a dent suddenly appears in the ground after the ball leaves. This does not conform to the laws of physics."
AIGC,artifacts,24,TO,open,"Analyzing this video, did it contain any actions that violated the usual rules of the game?Please state the specific reason.","In the video, the snake disappeared before it could eat the fruit. This doesn't follow typical game mechanics."
AIGC,artifacts,25,TO,open,"Analyzing this video, did it contain any actions that violated the usual rules of the game?Please state the specific reason.","After eating the first fruit, the snake suddenly changed direction. Furthermore, the snake's head would suddenly thicken and then thin again, which doesn't conform to typical game mechanics."
AIGC,artifacts,26,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the backpack strap on the left appears to have moved directly from the person's arm to their hand, which doesn't conform to real-world phenomena."
AIGC,artifacts,27,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the person places the second piece, the black piece appears out of thin air. This does not conform to the laws of the real world."
AIGC,artifacts,28,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First, as the finger moves, creases appear instantly on the yellow paper. Second, the shape of the paper changes incorrectly after being flipped, and the initial black dotted lines disappear after being flipped again. These phenomena do not conform to real-world laws."
AIGC,artifacts,29,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The wooden floor in the video suddenly twitched and changed, which does not conform to real-world phenomena."
AIGC,artifacts,30,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First, the yellow object in the video passes directly into the wood. Second, the red and blue objects appear to intersect in space. These actions do not conform to real-world phenomena."
AIGC,artifacts,31,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The girl in the video originally only had four fingers on her left hand, but suddenly a thumb grew out, which doesn't conform to real-world phenomena."
AIGC,artifacts,32,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","When placing a cylindrical object, a base appeared out of thin air at the bottom of the cylinder. This does not conform to the laws of the real world."
AIGC,artifacts,33,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The last two times the hammer didn't hit the nail, but the nail was still driven into the wall. This doesn't conform to real-world phenomena."
AIGC,artifacts,34,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The hand in the video initially appears to be a left hand, but instantly transforms into a right hand as the back of the hand is flipped. This does not conform to real-world phenomena."
AIGC,artifacts,35,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the man throws away trash with his right hand, his right hand passes through the metal wall of the trash can, which does not conform to real-world phenomena."
AIGC,artifacts,36,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the barber stepped back, his right leg directly went through the chair. This does not conform to the laws of the real world."
AIGC,artifacts,37,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the paper is taken out, it passes through the edge of the closed envelope. Furthermore, the shape of the white paper changes. This does not conform to real-world phenomena."
AIGC,artifacts,38,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The green building block in the video is suddenly stretched and then suddenly returns to its original shape, which does not conform to the laws of the real world."
AIGC,artifacts,39,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when this person began to touch their head, the hat suddenly disappeared. This is inconsistent with the actual situation."
AIGC,artifacts,40,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the pen in the person's hand suddenly transformed into another pen while rotating. Moreover, the handwriting did not match the writing direction. This is inconsistent with the real-world phenomenon."
AIGC,artifacts,41,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the amount of salad being squeezed out suddenly increased, and the shape of the pile changed abruptly. This does not conform to real-world phenomena."
AIGC,artifacts,42,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the woman in the yellow dress doesn't touch the keyboard, yet text appears to be typed on the computer. Furthermore, when the woman in the yellow dress raises her hand, a pen suddenly appears in her hand. This doesn't conform to real-world phenomena."
AIGC,artifacts,43,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.",The person in the video simply tugged at their clothes; they didn't zip up the zipper. But the zipper suddenly zipped up. This doesn't conform to real-world phenomena.
AIGC,artifacts,44,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the lighter's top changes shape the instant it's pressed. Furthermore, the person's thumb is not pointing correctly. These phenomena do not conform to real-world phenomena."
AIGC,artifacts,45,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, an unexpected finger suddenly appears on top of the remote control. Furthermore, the person in the video directly removes food from the television. These actions do not conform to real-world phenomena."
AIGC,artifacts,46,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, after placing food in the oven, the person's right hand suddenly changes from palm up to palm down. This does not conform to real-world phenomena."
AIGC,artifacts,47,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the person presses the remote control, their hand moves upwards to press the button, but the position of two fingers remains unchanged, detached from most of the hand. This does not conform to real-world phenomena."
AIGC,artifacts,48,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, as soon as this person put down the piggy bank, two coins suddenly appeared. And a little pig disappeared. This is inconsistent with the real phenomenon."
AIGC,artifacts,49,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the green puzzle piece was just picked up when it suddenly fell onto another green puzzle piece that appeared out of nowhere. This is inconsistent with the real-world phenomenon."
AIGC,artifacts,50,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, when the M and S puzzle pieces are picked up, the I piece, which has no connection to these two puzzle pieces, also leaves the table. This does not conform to real-world phenomena."
AIGC,artifacts,51,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, when a person picks up the second lollipop from the left, the lollipop flies away in a way that defies the laws of physics."
AIGC,artifacts,52,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, there were originally two dogs, but they somehow merged into one dog. This doesn't conform to real-world rules."
AIGC,artifacts,53,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, when a person picks up two bottles, the bottles pass between the person and their hand, and then a hand appears out of thin air and takes the bottles away. This does not conform to real-world rules."
AIGC,artifacts,54,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, as the apple is spinning, its Basin suddenly becomes its Calyx. This does not conform to real-world rules."
AIGC,artifacts,55,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, the hand didn't touch the yellow tomato, yet both the yellow and red tomatoes moved together. This doesn't conform to real-world rules."
AIGC,artifacts,56,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, two tail fins suddenly appeared when the plane turned, and one of the tail fins disappeared after the turn. This does not conform to real-world rules."
AIGC,artifacts,57,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the second graduated cylinder from the left suddenly disappears without anyone touching it. This does not conform to real-world rules."
AIGC,artifacts,58,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In this video, when the clothes were taken off, the front of the clothes faced the camera. But even if they were turned over, the front of the clothes still faced forward. This is inconsistent with the rules of the real world."
AIGC,artifacts,59,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, two toys suddenly appear out of thin air from the bottom of the basket as it moves. This does not conform to real-world rules."
AIGC,artifacts,60,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, a raw egg and some food appear out of thin air in a spoon, and the raw egg instantly turns into a cooked egg when poured into a plate. This does not conform to real-world rules."
AIGC,artifacts,61,TO,open,Analyze this video. Is this a normal calendar? Does it contain any content that contradicts the real world?Please state the specific reason.,"The calendar in the video should transition from the 28th to the 29th, but the 27th briefly appears in between, which does not conform to real-world patterns."
AIGC,artifacts,62,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The umbrella in the video has a Velcro closure, and as the umbrella rotates, many Velcro closures appear, which does not conform to real-world phenomena."
AIGC,artifacts,63,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, while people are stacking green blocks, blue and white blocks suddenly appear out of thin air at the bottom. This does not conform to real-world rules."
AIGC,artifacts,64,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The second red bucket in the video has two handles, one of which is inserted into the bucket. This does not conform to real-world rules."
AIGC,artifacts,65,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, both sides of the coin were initially identical, but during the rotation, the image on one side changed. This does not conform to real-world phenomena."
AIGC,artifacts,66,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, as the tea leaves in the cup are spinning, a tea leaf flies out through the glass like a falling leaf. This does not conform to real-world phenomena."
AIGC,artifacts,67,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First, in the video, when the roast chicken was placed on the plate, a lot of broth suddenly appeared on the plate. This doesn't conform to real-world phenomena."
AIGC,artifacts,68,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First, after the dessert was placed on the plate, the plate suddenly filled with broth. Second, when someone spread the cream on top with their hand, the cream didn't change. This doesn't conform to real-world phenomena."
AIGC,artifacts,69,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The cola in the video didn't pour out, but some cola still leaked out from the bottom of the glass. This doesn't conform to real-world phenomena."
AIGC,artifacts,70,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the basketball, after losing momentum and bouncing relatively low, suddenly gains energy and bounces very high. This does not conform to real-world phenomena."
AIGC,artifacts,71,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The balloon in the video wasn't popped, but it suddenly sprayed out some water and balloon fragments. This doesn't conform to real-world phenomena."
AIGC,artifacts,72,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","First, in the video, the person puts the pill into their mouth with their left hand, then their right hand leaves the cup, leaving the cup briefly suspended in mid-air. Furthermore, a white pill suddenly appears out of thin air in their right hand. These actions do not conform to real-world rules."
AIGC,artifacts,73,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the person inserts the test strip into the liquid very gently, but the liquid splashes up and directly penetrates the beaker, spilling outside. This does not conform to real-world rules."
AIGC,artifacts,74,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the basketball bounces up without touching anything while the man is dribbling. This doesn't conform to real-world rules."
AIGC,artifacts,75,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the man's position suddenly changes the instant he flips on the rings, and it appears that someone else is on the rings. At the end of the video, hair suddenly appears on the man's chin. This does not conform to real-world rules."
AIGC,artifacts,76,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the body of the yellow car suddenly began to convulse; this defies the laws of the real world."
AIGC,artifacts,77,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The video features two volleyballs, one of which suddenly disappears; this defies the laws of the real world."
AIGC,artifacts,78,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the golf ball passes right over the hole without dropping in; instead, it rolls straight across as if on level ground—behavior that defies the laws of the real world."
AIGC,artifacts,79,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The briefcase in the video was originally on the person's right side, but suddenly shifted to their left; this defies the laws of the real world."
animal,amphibians,1,TC,open,How many feeding attempts did the frog make in the video?,3 times
animal,amphibians,2,TO,closed,"Did the frog remain still throughout the video?
(a) Yes.
(b) No.",(b)
animal,amphibians,3,TO,closed,"Is there at most one kind of animal in the video?
(a) True.
(b) False.",(b)
animal,amphibians,4,TC,open,How many times did the frog open and close its mouth in the video?,1 time
animal,amphibians,5,TC,open,How many prey items did the frog catch in total in the video?,1 prey item
animal,amphibians,6,TC,open,How many times did the two frogs open and closed their mouths in total in the video?,0 times
animal,birds,1,AD,closed,"What action did the great egret make while walking in the video?
(a) It suddenly lowered its head and pecked into the grass.
(b) It quickly spread its wings to both sides and made one brief shake.
(c) Its body suddenly spun 180 degrees in place.
(d) It did nothing.",(b)
animal,birds,2,TC,open,"Between the 3rd and 4th second of the video, how many small birds flew in from off-screen and landed on the branch?",3 birds
animal,birds,3,TC,open,How many times did the bird open and closed its beak in total in the video?,3 times
animal,birds,4,AD,closed,"What was the bird's head movement at the beginning of the video?
(a) A quick lowering or pecking motion.
(b) It quickly spread its wings to both sides and made one brief shake.
(c) Its body suddenly spun 180 degrees in place.
(d) It did nothing.",(a)
animal,birds,5,AD,closed,"Which description of the video is correct?
(a) The bird made two quick head-lowering motions, and each time it picked up a fruit.
(b) The bird made two quick head-lowering motions; it did not pick up a fruit the first time, but did pick one up the second time.
(c) The bird made one quick head-lowering motion and picked up one fruit.
(d) The bird made one quick head-lowering motion.",(b)
animal,birds,6,TR,closed,"What was the direct reason for the bird's second head-lowering motion?
(a) To look for and pick up food that had fallen on the snow.
(b) It stepped on something on the ground and bent down to inspect it.
(c) To place food onto the snow.",(a)
animal,birds,7,AD,closed,"Which option correctly describes the behavior of the bird on the upper flower stem?
(a) It flew in from outside the frame to the flower stem and completed a 360-degree flip around it.
(b) It flew in from outside the frame to the flower stem and rapidly vibrated its wings.
(c) It flew from another flower stem already in the frame, while keeping its body and wings completely still.
(d) It flew from another flower stem already in the frame and tried to drive away a competitor.",(b)
animal,birds,8,TC,closed,"How many times did the woodpecker peck the tree trunk in the video?
(a) It remains still and does not peck at all.
(b) Fewer than 5 times.
(c) Between 5 and 10 times.
(d) More than 10 times.",(d)
animal,birds,9,AD,closed,"What action happens in the video?
(a) A bird quickly flies from the left side of the frame to the right side.
(b) The background remains completely still and empty, with no bird movement at all.
(c) A bird perched on a branch suddenly spreads its wings but stays in place.
(d) A bird enters from the bottom of the frame and flies vertically upward before disappearing.",(a)
animal,birds,10,TR,closed,"Did the bird open its beak in the video? If so, why?
(a) The bird did not open its beak.
(b) The bird opened its beak for no particular reason.
(c) The bird opened its beak to catch an insect flying in the air.
(d) The bird opened its beak because it wanted to yawn.",(c)
animal,birds,11,AD,closed,"At the beginning of the video, what did the heron's beak do?
(a) The heron remained completely still, and its beak did not move.
(b) The heron flicked its head quickly and shook off a long strip attached to its beak.
(c) The heron rapidly shook its head as if cleaning its beak.
(d) The heron slowly opened its beak, trying to catch a slender fish jumping out of the water.",(b)
animal,birds,12,AD,closed,"At the 4th second of the video, which option accurately describes the behavior of the two small birds?
(a) Both birds remain completely motionless with no sign of activity.
(b) The bird on the left makes a quick wing-flapping motion and a brief vertical hop, while the bird on the right remains still.
(c) The bird on the right makes a quick flying observation movement, while the bird on the left remains completely still.
(d) Both birds flap their wings at the same time, but only the left bird's feet leave the surface.",(b)
animal,birds,13,AD,closed,"Regarding the male bird stepping onto the female during mating, which option most accurately describes the male bird's wing movement?
(a) While on the female's back, it kept both wings tightly folded and completely still.
(b) At the moment it stepped onto the female, it made a series of rapid, vibrating wing flaps to maintain balance.
(c) Its wings were only moved by the wind while the bird itself remained in a paralyzed still state.
(d) It spread its wings and held a frozen gliding pose without any flapping.",(b)
animal,birds,14,TC,open,How many clearly visible rapid wing-flapping motions did the bird make in total?,3 times
animal,birds,15,TC,open,How many times did the twig fall from the bird's beak into the water in total?,2 times
animal,birds,16,AD,closed,"At the end of the video, what dynamic change occurs in the background area?
(a) The entire background remains completely still, and no extra animals appear.
(b) Two birds quickly fly across the frame from right to left.
(c) One bird enters from the left side and lands on a nearby mud pile.
(d) Two birds fly vertically upward from the water and disappear into the sky.",(b)
animal,birds,17,AD,closed,"At the very beginning of the video, a bird enters the frame and lands on the ground. From which direction or corner does it first appear?
(a) It appears from the bottom-right corner and walks toward the center.
(b) It appears from the top-left corner and flies down to the ground.
(c) It appears from the bottom-left corner and hops upward into the nest.
(d) It does not appear from any side; it was already still in the center of the frame.",(b)
animal,birds,18,AD,closed,"Which description of the video is correct?
(a) The heron's tail remains still throughout.
(b) The heron's tail shows a rapid vibration.
(c) The heron's head makes a rapid whipping motion.
(d) The heron does not move in the video.",(b)
animal,birds,19,AD,closed,"Which option correctly describes the action in the video?
(a) The adult bird bends its head toward the center of the nest and feeds the chicks.
(b) The adult bird suddenly lifts its head to look at the sky and waits to be fed by other birds.
(c) The adult bird bends its head toward the center of the nest and checks the chicks' injuries with its claws.
(d) The adult bird suddenly lifts its head to look at the sky and starts calling.",(a)
animal,birds,20,AD,closed,"From which side of the frame does a bird suddenly appear in the video?
(a) Left side
(b) Right side
(c) Upper side
(d) Lower side",(d)
animal,birds,21,AD,closed,"Toward which corner of the frame does one bird suddenly disappear in the video?
(a) Upper-left corner
(b) Upper-right corner
(c) Lower-left corner
(d) Lower-right corner",(d)
animal,birds,22,AD,closed,"Toward which side of the frame does the bird leave in the video?
(a) Left side
(b) Right side
(c) Upper side
(d) Lower side",(b)
animal,birds,23,AD,closed,"Between the 4th and 5th second of the video, how does the bird's head move?
(a) The bird first turns its head to the right side of the frame, then immediately turns to the left.
(b) The bird first turns its head to the left side of the frame, then immediately turns to the right.
(c) The bird turns its head to the right side of the frame and remains still.
(d) The bird turns its head to the left side of the frame and remains still.",(b)
animal,birds,24,AD,closed,"At the end of the video, does the bird perched on the left trunk move? What is its trajectory?
(a) Yes; it flies toward the right side of the screen.
(b) Yes; it flies toward the left side of the screen.
(c) Yes; it flies upward on the screen.
(d) No.",(a)
animal,birds,25,AD,closed,"Which option correctly describes the end of the video?
(a) The bird has a flight movement first, and the shooting screen is directed downward; The bird flies towards the bottom of the screen.
(b) The bird has a flight movement first, and the shooting screen direction is down; The bird flies to the right side of the picture.
(c) The direction of the shooting screen is downward, and the bird has another flight movement; The bird flies towards the bottom of the screen.
(d) the direction of the shooting screen is downward, and the bird has a flight movement; The bird flies to the right side of the picture.",(a)
animal,birds,26,AD,closed,"Which option correctly describes the beginning of the video?
(a) Exactly one flamingo briefly flaps its wings, suggesting it may be preparing to take off.
(b) All flamingos in the frame remain completely still.
(c) The flamingos in the frame are moving toward the right side.
(d) Two or more flamingos briefly flap their wings, suggesting they may be preparing to take off.",(d)
animal,birds,27,AD,closed,"At the beginning of the video, before touching the sandy slope, from which direction does the bird descend?
(a) Left side
(b) Right side
(c) Upper side
(d) Lower side",(c)
animal,birds,28,TC,open,What is the maximum number of birds visible on screen at the same time in the video?,7 birds
animal,birds,29,TC,closed,"If one complete wing flap is defined as going from fully closed to fully open and back to fully closedd, how many full wing flaps do the birds complete in total?
(a) 1-3 times
(b) 4-6 times
(c) 7-9 times
(d) 10-12 times",(c)
animal,birds,30,AD,closed,"How does the bird change the position of its legs in the video?
(a) It flaps its wings and flies a short distance to a new branch.
(b) It walks to a new branch without flapping its wings.
(c) It walks to a new branch while keeping its wings spread the whole time.
(d) Its leg position does not change.",(a)
animal,birds,31,TC,open,How many clearly visible head-lowering motions that touch the water surface does the bird make in total?,2 times
animal,birds,32,TC,open,How many times in total does the bird take a berry into its beak and swallow it?,2 times
animal,birds,33,AD,closed,"Which option correctly describes what happens at the beginning of the video?
(a) A bird with an orange-brown head suddenly flies into the frame and lands on the ground, and then a bird with a gray-brown head flies out of the frame.
(b) A bird with a gray-brown head flies out of the frame, and then a bird with an orange-brown head suddenly flies into the frame and lands on the ground.
(c) Only a bird with an orange-brown head flies into the frame.
(d) Only a bird with a gray-brown head flies out of the frame.",(a)
animal,birds,34,TC,open,"At most, how many birds appear on screen at the same time in the video? Also, are the two flying birds moving toward the left or right edge of the frame?",6 birds; left edge
animal,birds,35,AD,closed,"Which option correctly describes the event in the video?
(a) The bird's beak touches the water first, and then its leg reaches toward its head to scratch.
(b) The bird first opens its beak to call, and then its leg reaches toward its head to scratch.
(c) The bird first raises its leg toward its head to scratch, and then its beak touches the water.
(d) The bird first raises its leg toward its head to scratch, and then opens its beak to call.",(a)
animal,birds,36,AD,closed,"Which option correctly describes the birds' movement trajectory at the end of the video?
(a) Two birds are moving: one moves from the left branch to the middle branch, and another flies in from off-screen on the left to the branch on the right.
(b) Exactly one bird is moving, from the left branch to the middle branch.
(c) Exactly one bird is moving, from off-screen on the left to the branch on the right.
(d) No bird movement occurs.",(a)
animal,birds,37,AD,closed,"Which description best matches the video?
(a) The bird only walks and does not eat.
(b) The bird swallows the food in its beak in one bite and continues walking forward.
(c) The worm in the bird's beak falls onto the wood, so the bird lowers its head again to pick it up while continuing to walk forward.
(d) The bird remains still throughout the video.",(c)
animal,birds,38,TR,closed,"Why does the mallard 'flip over' in the video?
(a) A bird sweeps across from the left side of the frame to the right and attacks the mallard.
(b) A bird sweeps across from the right side of the frame to the left and attacks the mallard.
(c) Another animal passes by and steps on the mallard with its limbs.
(d) The mallard flips over to play with its companions.",(a)
animal,birds,39,AD,closed,"At the end of the video, toward which part of the frame does the bird fly out of view?
(a) Upper-left corner
(b) Upper-right corner
(c) Lower-left corner
(d) Lower-right corner",(d)
animal,birds,40,AD,closed,"Which description of the video is correct?
(a) Two birds sweep across the frame; one flies upward on the screen and the other flies downward.
(b) Two birds sweep across the frame, and both fly upward on the screen.
(c) Two birds sweep across the frame, and both fly downward on the screen.
(d) One bird sweeps across the frame and flies upward on the screen.",(a)
animal,birds,41,AD,closed,"Which description of the video is correct?
(a) After flapping its wings, the bird swallows the food in its mouth.
(b) The bird remains still throughout the video.
(c) The bird picks up and swallows a fish from the water.
(d) The bird flaps its wings and flies into the sky.",(a)
animal,birds,42,TR,closed,"What is the most likely reason that the second bird from left to right spreads its wings and flies at the end of the video?
(a) The bird on the right side lunges at it, startling it and causing it to try to fly away.
(b) It wants to fly away together with the other birds in the frame.
(c) Another bird flies overhead, and it plans to chase that bird.
(d) The bird on the left side lunges at it, startling it and causing it to try to fly away.",(a)
animal,fish,1,TO,closed,"In the video, the fish steadily swims toward the center of the frame. When it faces the camera, it suddenly expands its mouth, then quickly backs away or turns and swims away.
(a) True.
(b) False.",(a)
animal,fish,2,TO,closed,"Do the shark's eyeballs appear completely motionless throughout the video?
(a) Yes.
(b) No.",(b)
animal,invertebrates,1,AD,closed,"When observing the crab's activity, did it move the surrounding ball-shaped sand pellets? If so, how did it move them?
(a) The crab did not move any ball-shaped sand pellets.
(b) Using its walking legs, the crab made one quick flick and tossed a sand pellet behind its body.
(c) The crab slowly picked up a sand pellet with its claw and carefully stacked it into a vertical pile.
(d) Two crabs were fighting over one ball-shaped sand pellet.",(b)
animal,invertebrates,2,AD,closed,"How does the mud dauber move the dark object?
(a) The mud dauber and the object move in a completely smooth and continuous sliding motion.
(b) The mud dauber stays still and never moves the object at any moment.
(c) The movement is completed through a series of rapid, intermittent hopping or leaping motions.
(d) The object moves on its own across the sand while the mud dauber stays still behind it.",(c)
animal,invertebrates,3,AD,closed,"Which description best matches what happens at the end of the video?
(a) The insect jumps toward the lower-right of the screen and moves onto another leaf.
(b) The insect flies away from the bottom edge of the screen.
(c) The insect remains still on the leaf without moving.
(d) The insect is eating the leaf.",(a)
